trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.015, 'e': 0.18359922902771791}",20,9,8.405611772217352,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.015, 'e': 0.1808657926171221}",20,11,12.660212846215899,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.015, 'e': 0.17817305177289844}",30,12,33.05333285444834,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.015, 'e': 0.17552040061699686}",20,0,-68.40274041923604,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
117,False,"{'a': 0.015, 'e': 0.1729072422917164}",30,14,13.880230498478966,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.015, 'e': 0.17033298882540943}",25,0,10.960373398205437,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.015, 'e': 0.1677970610001859}",20,0,-7.318817688854495,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
120,False,"{'a': 0.015, 'e': 0.16529888822158656}",20,0,-1.5110931470627023,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.015, 'e': 0.16283790839019696}",25,10,15.304419230778365,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.015, 'e': 0.1604135677751728}",25,0,18.791328138048918,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.015, 'e': 0.1580253208896478}",25,0,26.727116660049678,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.015, 'e': 0.15567263036799733}",25,2,24.055675147006763,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.015, 'e': 0.15335496684492847}",20,14,12.128132392575473,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.015, 'e': 0.15107180883637086}",20,0,-21.736582251318747,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.015, 'e': 0.14882264262214037}",20,0,5.744465547786678,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.015, 'e': 0.14660696213035015}",25,13,-0.39647169145632466,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.015, 'e': 0.144424268823542}",25,15,18.100137334894132,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.015, 'e': 0.1422740715865136}",25,7,18.866760561117392,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.015, 'e': 0.14015588661581538}",20,10,4.2417725274750815,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.015, 'e': 0.13806923731089282}",20,9,13.644181277970478,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.015, 'e': 0.13601365416684918}",20,0,-13.8621946316882,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 0.015, 'e': 0.13398867466880499}",30,6,20.28432975596307,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.015, 'e': 0.13199384318783022}",30,8,-9.623938912652928,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.015, 'e': 0.1300287108784259}",20,10,6.641809115314102,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.015, 'e': 0.12809283557753204}",25,14,5.3093537783526195,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.015, 'e': 0.12618578170503877}",25,11,0.9005904867260759,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.015, 'e': 0.12430712016577938}",25,12,23.54845954140366,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.015, 'e': 0.1224564282529819}",20,6,19.12170324780646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.015, 'e': 0.12063328955315832}",25,0,34.934842837525615,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.015, 'e': 0.11883729385240965}",20,0,27.7773292832079,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.015, 'e': 0.11706803704412637}",20,14,9.389763735596995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.015, 'e': 0.11532512103806251}",35,17,24.661634092316273,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.015, 'e': 0.11360815367076377}",20,7,11.024155072052693,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.015, 'e': 0.11191674861732888}",25,12,25.403207883137842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.015, 'e': 0.11025052530448522}",20,8,18.49200626785516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.015, 'e': 0.10860910882495801}",20,9,19.178246421614126,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.015, 'e': 0.10699212985311449}",30,21,18.447908896024867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.015, 'e': 0.10539922456186433}",25,3,26.543397280804005,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.015, 'e': 0.10383003454079692}",20,0,-13.32324527693944,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
152,False,"{'a': 0.015, 'e': 0.10228420671553748}",30,0,46.52712894703967,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.015, 'e': 0.10076139326830373}",20,10,20.565929598346347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.015, 'e': 0.09926125155964566}",30,11,30.937992884139277,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.015, 'e': 0.09778344405135009}",30,11,22.758874585690442,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.015, 'e': 0.09632763823049303}",20,0,-52.551151147746765,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
157,False,"{'a': 0.015, 'e': 0.09489350653462311}",20,8,11.598142418861128,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.015, 'e': 0.09348072627805847}",30,0,11.45019429818734,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.015, 'e': 0.0920889795792812}",20,0,-42.608845621875304,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
160,False,"{'a': 0.015, 'e': 0.09071795328941251}",20,0,27.13532822367782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.015, 'e': 0.08936733892175319}",20,12,14.412393313791986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.015, 'e': 0.08803683258237259}",25,19,11.422266402461808,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.015, 'e': 0.08672613490173114}",20,11,17.02130178538515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.015, 'e': 0.08543495096732123}",25,0,-47.78832611499619,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.015, 'e': 0.08416299025731036}",20,16,5.666006820925843,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.015, 'e': 0.0829099665751727}",25,2,5.402946573920918,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.015, 'e': 0.08167559798529346}",20,14,10.92165732269233,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.015, 'e': 0.08045960674953244}",30,12,34.802193870453195,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.015, 'e': 0.07926171926473159}",25,14,18.10865282324456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.015, 'e': 0.07808166600115317}",20,0,21.358781668799537,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.015, 'e': 0.0769191814418345}",25,7,24.3374184348336,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.015, 'e': 0.07577400402284548}",35,19,15.216628613295402,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.015, 'e': 0.07464587607443561}",20,16,9.19182564448783,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.015, 'e': 0.0735345437630571}",20,2,25.65630900038666,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.015, 'e': 0.07243975703425146}",25,15,15.80958377156903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.015, 'e': 0.07136126955638608}",30,0,26.78329783432088,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.015, 'e': 0.07029883866522847}",20,15,7.87620433773032,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.015, 'e': 0.069252225309346}",25,18,13.798836624010917,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.015, 'e': 0.06822119399631812}",20,11,14.414013535854773,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.015, 'e': 0.06720551273974978}",20,0,-13.420480939183843,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
181,False,"{'a': 0.015, 'e': 0.06620495300707324}",20,11,12.150741486940577,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
